""
Christian Life Children's Centre,2012
Contact Name,Sheila Kerluck,Opening Balance,0.0
Invocie Number,Date,Amount,Noah Kerluck,Dane Kerluck,Misc.
210,"Apr 20,2012",378.0,378.0,0.0,0.0
304,"Apr 27,2012",288.0,288.0,0.0,0.0
303,"Apr 27,2012",-378.0,-378.0,0.0,0.0
467,"Jun 01,2012",288.0,288.0,0.0,0.0
599,"Jun 06,2012",62.7,0.0,0.0,62.7
699,"Jul 01,2012",253.3,129.2,121.6,2.5
1096,"Sep 01,2012",272.0,272.0,0.0,0.0
1361,"Oct 01,2012",306.0,306.0,0.0,0.0
1574,"Nov 24,2012",306.0,306.0,0.0,0.0
1804,"Dec 01,2012",266.0,238.0,0.0,28.0
Total Invoiced,"",2042.0,1827.2,121.6
---
rec Number,Date,Amount
112,"May 01,2012",288.0,6 - EFT
272,"Jun 01,2012",288.0,EFT
470,"Jul 03,2012",316.0,EFT
780,"Sep 03,2012",272.0,EFT
983,"Oct 01,2012",306.0,EFT
1193,"Nov 01,2012",334.0,
1389,"Dec 03,2012",238.0,
Total Receipt,2042.0
Closing Balance,0.0
""
